# Korean manuscript batch: early town and first major incident.
# id	Korean translation	category	status
C0-0580FE	[CLR][DFT] [NAM:00]은\n[KATAKANA]우편함[HIRAGANA] 안을 살펴봤다.\n하지만 아무것도 없었다.˳	early-town	translated
C0-058141	[DFT] [NAM:00]은\n[KATAKANA]우편함[HIRAGANA] 안을 살펴봤다.\n[PAU:0A][KATAKANA]우편함[HIRAGANA] 안에는\n[PAL:03][KATAKANA]연애편지[HIRAGANA][PAL:00]가 들어 있었다![FIN][PAL:02] [KATAKANA]포롱[HIRAGANA] 씨, 당신은 나의 태양이에요.\n나는 언제나 그 태양을 바라보고 싶어요.\n[SKP:12]당신의 [KATAKANA]팬[HIRAGANA]으로부터	early-town	translated
C0-0581C0	[DFT][E2:01C2] 들려?\n[PAU:14]지금 아버지가 여기 와 계신데…[FIN]\n아무튼 한 번 집에 돌아와 줘.\n부탁할게.˳	early-town	translated
C0-0582C1	[DFT][PAL:02]마을 안내[PAL:00]\n[PAL:02]해커[PAL:00]를 자칭하는\n수상한 사람들이 나타났습니다.\n수상한 사람을 보았다면\n신고해 주세요!\n[KATAKANA]로코코 마을 경찰[HIRAGANA]	early-town	translated
C0-058318	[DFT][PAL:02]마을사무소 알림[PAL:00]\n며칠 전 지진으로 강 근처에\n산사태가 일어날 위험이 있습니다.\n출입을 삼가 주세요.˳	early-town	translated
C0-058364	[DFT][PAL:02]마을사무소 알림[PAL:00]\n천재 발명가 [KATAKANA]페퍼[HIRAGANA] 박사가\n[KATAKANA]해커 대책[HIRAGANA]을 위해 찾아왔습니다!\n촌장님과 면담할 예정입니다.˳	early-town	translated
C0-0583B9	[DFT][PAL:02]마을사무소 부탁[PAL:00]\n강가 동굴에 놀러 갔던\n아이들이 행방불명되었습니다.\n수색에 협조해 주세요.˳	early-town	translated
C0-05840B	[DFT][PAL:02]마을사무소 알림[PAL:00]\n얼마 전 행방불명됐던\n아이들은 [KATAKANA]로코코 마을[HIRAGANA]에 사는\n발명가 [NAM:00] 씨가[FIN] 무사히 구해 냈습니다.\n또한 [NAM:00] 씨에게는\n촌장님이 포상금을\n전달할 예정입니다.˳	early-story	translated
C0-058DF6	[DFT]우리들은\n모험 계획을 짜고 있어.\n하지만 자세한 건\n가르쳐 주지 않을 거야.[PAU:1E]흥.˳	early-town	translated
C0-058E2B	[DFT][KATAKANA]카를[HIRAGANA]이 [KATAKANA]해커[HIRAGANA]의 [KATAKANA]아지트[HIRAGANA]를\n찾으러 가자고 했어.\n나쁜 건 [KATAKANA]내[HIRAGANA]가 아니야!	early-town	translated
C0-058E65	[DFT]어?[KATAKANA]카를[HIRAGANA]? 몰라.\n아직 동굴에서\n혼자 애쓰고 있을지도 몰라.[FIN]\n그 녀석, 반드시 [KATAKANA]해커[HIRAGANA]의\n[KATAKANA]아지트[HIRAGANA]를 찾겠다며\n잔뜩 벼르고 있었거든.˳	early-town	translated
C0-058EBC	[DFT]이번에는 우리들이\n미혹의 숲 너머에 있다는\n[PAL:02]유령 저택[PAL:00]을\n탐험하러 갈까 생각 중이야.˳	early-town	translated
C0-058EFD	[DFT]어? 지난번에 받은 발명품?\n가위바위보에서 져서\n마을 입구에 있는 아이에게\n빼앗겼어…˳	early-town	translated
C0-059091	[DFT]너, 알고 있어?\n[CMD:E2] [KATAKANA]버튼[HIRAGANA]을 누르면서 걸으면\n더 빨리 걸을 수 있어!	early-town	translated
C0-0590BF	[DFT]촌장님을 만나러 갈 거지?\n그렇다면 개를 데리고 가면\n기뻐하실 거야.\n촌장님은 개를 아주 좋아하시거든.˳	early-town	translated
C0-0590FF	[DFT]정말 촌장님을 만나는데\n개를 데리고 갔어?\n오빠는 참\n잘 속는다니까.[PAU:1E]후훗.˳	early-town	translated
C0-059216	[DFT]호오.[PAU:1E] 네가 [KATAKANA]아키하바라[HIRAGANA] 씨의\n아들이냐?\n[KATAKANA]아키하바라[HIRAGANA] 씨도 예전에는\n이 마을에 살았지.[FIN]\n발명에 실패해서 큰 소동을\n일으킨 일이 있었거든.\n[PAU:1E]그 뒤 마을에서 떨어진 곳으로\n이사해 버렸단다.[FIN]\n어쨌든 젊을 때는 실패를 두려워하지 말고\n여러 가지를 해 보거라.˳	early-story	translated
C0-05929D	[DFT]젊을 때는 실패를 두려워하지 말고\n여러 가지를 해 보거라.˳	early-town	translated
C0-0592C5	[DFT]날씨가 참 좋구나, 꼬마야.\n이야기라도 나누고 가지 않겠니?\n  그래, 이야기하자\n  지금은 됐어[TER][DFT]어? 왜 비에 젖었냐고?\n흔히들 그러잖니.\n물에 젖은 멋진 남자라고 말이다.\n호호호호.˳	early-town	translated
C0-05932A	[CLR]꼬마야, 좋은 걸 하나\n가르쳐 주마.\n[KATAKANA]세이브 데이터[HIRAGANA]를 [KATAKANA]로드[HIRAGANA]했을 때\n몸이 깜빡거리지?\n[FIN]그때는 [PAL:02]무적 상태[PAL:00]란다.\n적에게 둘러싸였다면\n그 틈에 재빨리\n도망치도록 하거라.˳	early-town	translated
